area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society3,1164,2,1,50.75
Carpet Area,Ready To Move,Velachery,2 BHK,Society3,2095,1,0,70.44
Built-up Area,Under Construction,Medavakkam,3 BHK,Society5,2189,1,0,150.49
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,2568,2,0,89.25
Built-up Area,Under Construction,Adyar,2 BHK,Society2,2086,3,0,109.5
Plot Area,Under Construction,Anna Nagar,1 BHK,Society1,1009,1,3,67.39
Built-up Area,Under Construction,Adyar,4 BHK,Society5,2592,1,1,86.07
Plot Area,Ready To Move,Velachery,5 BHK,Society3,4592,4,2,199.99
Built-up Area,Under Construction,T. Nagar,1 BHK,Society5,803,2,1,32.97
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society2,2231,1,1,130.1
Carpet Area,Under Construction,Adyar,4 BHK,Society4,3852,1,1,219.55
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society1,2749,1,3,168.77
Plot Area,Ready To Move,Tambaram,5 BHK,Society2,4978,2,0,224.81
Built-up Area,Ready To Move,Anna Nagar,2 BHK,Society2,1053,3,0,72.45
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society2,1399,2,1,59.36
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society4,2321,1,1,64.83
Plot Area,Under Construction,Tambaram,1 BHK,Society3,826,2,2,23.79
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society2,1873,1,3,90.69
Plot Area,Under Construction,Nungambakkam,1 BHK,Society3,908,1,2,34.7
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society1,2439,5,3,69.35
Carpet Area,Under Construction,Velachery,1 BHK,Society4,1076,1,2,62.35
Carpet Area,Ready To Move,Tambaram,3 BHK,Society4,1732,1,0,102.33
Built-up Area,Under Construction,Tambaram,2 BHK,Society4,2134,2,0,142.56
Carpet Area,Ready To Move,Tambaram,3 BHK,Society2,1652,2,1,47.84
Plot Area,Ready To Move,Velachery,1 BHK,Society5,1012,1,3,65.13
Plot Area,Ready To Move,Velachery,3 BHK,Society5,2526,3,2,80.34
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society2,1245,2,2,77.92
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society5,1038,2,3,37.08
Plot Area,Under Construction,Kodambakkam,3 BHK,Society3,2608,4,1,137.66
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society5,2264,1,3,150.94
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society2,1113,2,0,54.16
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society1,2283,1,3,95.42
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,1655,2,1,83.24
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society2,4354,1,1,268.75
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society2,722,1,0,26.62
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society2,3832,4,1,117.25
Carpet Area,Under Construction,Nungambakkam,2 BHK,Society2,1899,1,3,73.04
Carpet Area,Under Construction,T. Nagar,2 BHK,Society4,2256,2,0,101.75
Carpet Area,Under Construction,Medavakkam,1 BHK,Society5,855,2,3,43.59
Built-up Area,Under Construction,Thiruvanmiyur,1 BHK,Society5,973,1,1,46.66
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society3,4283,5,2,206.22
Plot Area,Under Construction,Medavakkam,3 BHK,Society2,2912,2,0,121.9
Plot Area,Ready To Move,Velachery,3 BHK,Society1,1824,2,3,75.38
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society1,1981,1,1,122.05
Plot Area,Ready To Move,Tambaram,1 BHK,Society3,984,2,3,26.47
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society1,4687,4,2,223.69
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society2,2883,1,0,108.99
Plot Area,Under Construction,Adyar,1 BHK,Society5,868,1,1,56.42
Carpet Area,Ready To Move,Velachery,4 BHK,Society4,2221,1,1,113.01
Built-up Area,Ready To Move,Tambaram,2 BHK,Society2,1363,3,0,92.07
Carpet Area,Ready To Move,Tambaram,3 BHK,Society5,3088,1,1,92.89
Built-up Area,Under Construction,Tambaram,5 BHK,Society5,3603,4,0,197.91
Plot Area,Under Construction,Velachery,2 BHK,Society2,2182,1,1,85.53
Plot Area,Under Construction,Sholinganallur,4 BHK,Society3,3038,4,0,112.52
Plot Area,Under Construction,Velachery,5 BHK,Society5,2865,3,3,117.88
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society3,2452,2,1,102.6
Plot Area,Ready To Move,Velachery,4 BHK,Society5,4706,5,2,210.24
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society3,2215,1,3,121.06
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society5,3054,3,3,200.93
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society1,1746,1,0,81.21
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society3,1988,1,0,78.02
Carpet Area,Ready To Move,Tambaram,5 BHK,Society3,3515,2,2,169.07
Plot Area,Under Construction,Medavakkam,5 BHK,Society4,3209,1,2,93.82
Carpet Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,3650,4,1,235.53
Plot Area,Under Construction,Tambaram,4 BHK,Society1,3554,2,0,154.03
Built-up Area,Ready To Move,Anna Nagar,2 BHK,Society4,2034,2,1,94.33
Plot Area,Under Construction,Nungambakkam,5 BHK,Society4,4148,4,2,254.26
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society3,2815,1,2,162.7
Plot Area,Ready To Move,Tambaram,4 BHK,Society4,4334,4,1,293.65
Built-up Area,Under Construction,T. Nagar,1 BHK,Society4,1001,1,0,51.82
Built-up Area,Under Construction,T. Nagar,4 BHK,Society2,2553,3,0,144.02
Built-up Area,Ready To Move,Adyar,2 BHK,Society3,1085,2,1,69.93
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society2,3559,5,2,110.77
Carpet Area,Ready To Move,Nungambakkam,4 BHK,Society5,2072,3,3,83.87
Carpet Area,Ready To Move,Velachery,5 BHK,Society3,3772,4,1,96.39
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society4,1447,1,3,46.62
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society2,4101,4,2,176.18
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society4,3070,1,2,143.74
Carpet Area,Under Construction,T. Nagar,5 BHK,Society1,5363,4,0,188.43
Carpet Area,Ready To Move,Nungambakkam,4 BHK,Society3,3473,2,0,114.02
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society3,3616,4,3,249.02
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society5,2277,2,3,63.95
Carpet Area,Ready To Move,Kodambakkam,1 BHK,Society3,1115,2,1,48.63
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society5,3385,3,2,87.74
Plot Area,Under Construction,Anna Nagar,3 BHK,Society1,1820,1,2,100.95
Built-up Area,Under Construction,Velachery,1 BHK,Society5,636,2,3,43.47
Plot Area,Under Construction,Nungambakkam,3 BHK,Society4,2969,2,0,111.13
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society5,3567,4,3,118.09
Carpet Area,Under Construction,Velachery,1 BHK,Society4,941,1,2,33.95
Plot Area,Under Construction,T. Nagar,4 BHK,Society3,2352,3,1,88.17
Plot Area,Ready To Move,Sholinganallur,3 BHK,Society4,2073,2,0,64.88
Built-up Area,Ready To Move,Adyar,1 BHK,Society1,1112,1,3,42.1
Carpet Area,Under Construction,Tambaram,5 BHK,Society1,5239,5,0,320.57
Plot Area,Under Construction,Tambaram,2 BHK,Society5,1314,3,0,38.72
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society3,1668,3,1,69.47
Plot Area,Ready To Move,Medavakkam,4 BHK,Society3,2007,4,3,137.14
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society3,3798,5,0,187.63
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society4,3441,1,0,202.05
Carpet Area,Ready To Move,Adyar,2 BHK,Society3,2251,3,0,79.35
Carpet Area,Under Construction,Medavakkam,3 BHK,Society4,2701,1,0,184.94
Carpet Area,Ready To Move,Adyar,5 BHK,Society1,5468,2,2,149.81
Built-up Area,Ready To Move,Tambaram,5 BHK,Society4,5228,4,2,352.91
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society2,3031,3,2,118.56
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society2,984,1,2,42.68
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society2,4121,4,1,240.84
Plot Area,Under Construction,Kodambakkam,4 BHK,Society1,2414,4,0,121.29
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society4,2320,2,2,70.52
Built-up Area,Under Construction,Sholinganallur,1 BHK,Society1,871,2,3,41.04
Built-up Area,Under Construction,T. Nagar,3 BHK,Society4,2702,4,3,184.69
Built-up Area,Ready To Move,Adyar,3 BHK,Society5,1986,4,2,137.02
Built-up Area,Under Construction,Anna Nagar,4 BHK,Society4,2893,2,1,116.88
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society4,2242,4,3,118.87
Plot Area,Ready To Move,Medavakkam,3 BHK,Society5,3303,4,2,187.62
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society1,5017,5,3,278.4
Carpet Area,Ready To Move,Tambaram,4 BHK,Society4,4083,1,1,113.15
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society4,3563,4,1,155.66
Plot Area,Under Construction,T. Nagar,4 BHK,Society4,2405,3,2,68.78
Plot Area,Ready To Move,Adyar,1 BHK,Society4,1053,1,2,73.42
Built-up Area,Under Construction,Adyar,2 BHK,Society3,1129,1,3,54.12
Carpet Area,Ready To Move,T. Nagar,2 BHK,Society1,1947,3,1,134.23
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,3688,4,1,252.9
Built-up Area,Ready To Move,Kodambakkam,3 BHK,Society3,1504,3,0,76.31
Plot Area,Ready To Move,Adyar,4 BHK,Society3,2390,3,0,73.58
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society1,3083,2,1,196.33
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society3,2069,3,1,108.96
Plot Area,Ready To Move,T. Nagar,1 BHK,Society1,730,1,0,18.34
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society3,3662,4,1,143.85
Built-up Area,Ready To Move,Velachery,5 BHK,Society4,5836,4,2,391.74
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society2,2428,2,0,91.39
Carpet Area,Under Construction,Velachery,4 BHK,Society3,2201,5,2,128.0
Carpet Area,Under Construction,T. Nagar,4 BHK,Society1,2116,2,3,82.56
Plot Area,Under Construction,Anna Nagar,2 BHK,Society2,1093,3,0,62.94
Carpet Area,Ready To Move,Velachery,1 BHK,Society2,1062,1,1,68.04
Built-up Area,Ready To Move,Kodambakkam,1 BHK,Society4,825,2,0,32.34
Built-up Area,Under Construction,T. Nagar,2 BHK,Society4,1388,1,3,84.05
Plot Area,Under Construction,T. Nagar,5 BHK,Society1,5920,5,2,313.63
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society4,1674,2,0,53.96
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society1,3059,5,1,145.98
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society3,2913,4,1,112.45
Plot Area,Under Construction,Adyar,1 BHK,Society3,575,2,2,32.11
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1008,2,3,57.03
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society2,2138,3,1,58.64
Plot Area,Under Construction,Thiruvanmiyur,1 BHK,Society4,1168,2,3,66.11
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society5,3234,3,2,122.35
Plot Area,Under Construction,Medavakkam,2 BHK,Society4,1390,3,3,81.62
Built-up Area,Under Construction,Velachery,2 BHK,Society1,2110,2,2,71.65
Built-up Area,Under Construction,T. Nagar,3 BHK,Society4,3020,1,3,123.3
Carpet Area,Ready To Move,Adyar,1 BHK,Society4,854,1,1,53.04
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society3,3466,3,3,177.8
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society3,3328,1,1,169.41
Plot Area,Under Construction,Anna Nagar,5 BHK,Society3,3183,1,0,210.18
Plot Area,Under Construction,T. Nagar,4 BHK,Society5,3694,4,3,162.31
Carpet Area,Under Construction,Adyar,1 BHK,Society4,959,2,1,40.7
Built-up Area,Under Construction,Adyar,1 BHK,Society2,540,2,3,25.42
Plot Area,Under Construction,Nungambakkam,4 BHK,Society4,3890,4,1,115.07
Plot Area,Under Construction,Kodambakkam,2 BHK,Society4,2135,3,1,148.6
Carpet Area,Under Construction,Velachery,2 BHK,Society5,1604,1,1,68.58
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society5,1925,1,2,122.82
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society3,1138,2,1,75.46
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society4,3013,4,2,122.59
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society3,3945,5,2,232.48
Carpet Area,Ready To Move,Kodambakkam,1 BHK,Society5,865,1,0,43.26
Carpet Area,Under Construction,T. Nagar,2 BHK,Society1,1685,1,0,114.46
Plot Area,Under Construction,Adyar,2 BHK,Society5,1778,1,3,81.95
Plot Area,Ready To Move,Medavakkam,5 BHK,Society5,5921,2,2,326.81
Plot Area,Under Construction,Kodambakkam,3 BHK,Society3,1625,1,2,68.82
Built-up Area,Under Construction,T. Nagar,2 BHK,Society2,1448,2,3,94.95
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society3,3020,2,1,162.86
Carpet Area,Under Construction,Adyar,2 BHK,Society4,1298,1,2,68.26
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society1,3860,1,1,150.7
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society1,3896,3,2,172.95
Plot Area,Ready To Move,Velachery,4 BHK,Society1,4319,1,1,109.89
Plot Area,Ready To Move,Anna Nagar,1 BHK,Society1,1113,1,3,65.98
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society5,5910,1,1,239.06
Built-up Area,Under Construction,T. Nagar,3 BHK,Society3,1890,3,1,49.55
Carpet Area,Ready To Move,Adyar,5 BHK,Society3,5686,2,1,365.74
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society1,2352,2,3,158.48
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society4,2390,2,0,163.1
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society4,3930,3,2,219.08
Plot Area,Ready To Move,Tambaram,3 BHK,Society5,3297,3,0,144.37
Carpet Area,Under Construction,Tambaram,3 BHK,Society3,2760,3,3,119.88
Built-up Area,Ready To Move,Velachery,4 BHK,Society2,2030,2,0,78.59
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society4,2863,5,1,118.02
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society1,2262,2,0,82.09
Carpet Area,Ready To Move,Tambaram,3 BHK,Society1,1760,1,0,109.21
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society4,2306,1,2,61.99
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society3,3686,5,3,111.65
Built-up Area,Ready To Move,Tambaram,2 BHK,Society4,1300,1,2,87.34
Plot Area,Under Construction,T. Nagar,2 BHK,Society4,1407,3,2,72.44
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society1,3744,4,0,236.29
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,1966,3,0,102.21
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society1,959,2,0,64.08
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society2,1192,1,1,48.66
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society5,1019,1,0,54.13
Carpet Area,Under Construction,Medavakkam,1 BHK,Society4,1038,1,3,65.93
Carpet Area,Under Construction,T. Nagar,2 BHK,Society4,1976,2,2,78.79
Built-up Area,Under Construction,Velachery,3 BHK,Society4,3584,3,1,244.96
Carpet Area,Under Construction,Tambaram,4 BHK,Society3,3754,4,0,145.59
Plot Area,Under Construction,Medavakkam,1 BHK,Society3,778,1,3,28.26
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society2,2596,5,1,106.83
Built-up Area,Under Construction,Adyar,5 BHK,Society3,4443,5,0,245.79
Carpet Area,Ready To Move,Nungambakkam,4 BHK,Society1,2426,2,0,106.95
Plot Area,Ready To Move,Adyar,5 BHK,Society5,4162,2,2,228.45
Built-up Area,Under Construction,T. Nagar,1 BHK,Society2,877,2,2,29.8
Built-up Area,Under Construction,Nungambakkam,4 BHK,Society1,3657,1,0,143.36
Plot Area,Under Construction,Velachery,1 BHK,Society4,889,2,1,61.93
Built-up Area,Ready To Move,Sholinganallur,1 BHK,Society1,1034,2,3,64.24
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society2,2718,2,1,85.92
Built-up Area,Ready To Move,Anna Nagar,4 BHK,Society4,2725,3,2,92.36
Plot Area,Ready To Move,Adyar,3 BHK,Society1,3353,4,1,221.39
Carpet Area,Under Construction,Velachery,3 BHK,Society1,2831,3,1,74.1
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society2,1114,2,2,52.32
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society3,809,2,2,29.87
Built-up Area,Under Construction,T. Nagar,2 BHK,Society4,1070,1,2,59.69
Built-up Area,Ready To Move,Velachery,5 BHK,Society5,4696,1,3,161.76
Carpet Area,Under Construction,Sholinganallur,1 BHK,Society1,999,1,2,51.68
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society1,2035,2,0,133.36
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society4,1164,2,3,58.65
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society2,872,2,1,40.85
Plot Area,Under Construction,Sholinganallur,5 BHK,Society2,3348,3,3,198.23
Plot Area,Under Construction,T. Nagar,2 BHK,Society5,2054,2,1,89.37
Plot Area,Under Construction,Anna Nagar,1 BHK,Society1,546,1,0,32.65
Plot Area,Ready To Move,Adyar,3 BHK,Society5,2586,4,0,126.76
Carpet Area,Under Construction,T. Nagar,3 BHK,Society5,2963,4,1,74.85
Plot Area,Under Construction,Medavakkam,4 BHK,Society4,2696,4,0,68.89
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society5,2927,5,1,129.19
Built-up Area,Under Construction,Anna Nagar,3 BHK,Society3,2756,1,0,149.42
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society2,2221,2,0,130.1
Carpet Area,Under Construction,Medavakkam,4 BHK,Society4,4724,5,2,129.86
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society2,1310,1,0,33.31
Built-up Area,Under Construction,Adyar,2 BHK,Society4,1948,1,3,51.61
Plot Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,3888,1,1,199.06
Plot Area,Under Construction,Medavakkam,1 BHK,Society1,837,1,2,37.32
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society5,3251,3,3,120.48
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society1,1461,1,2,59.38
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society4,2001,2,0,137.45
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society4,3570,5,1,246.39
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society4,1007,3,1,42.72
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society3,3756,1,3,200.07
Plot Area,Ready To Move,Medavakkam,2 BHK,Society2,2119,3,3,56.85
Built-up Area,Under Construction,Velachery,2 BHK,Society4,1169,1,3,40.0
Plot Area,Under Construction,Anna Nagar,4 BHK,Society4,2000,4,3,132.88
Built-up Area,Under Construction,Tambaram,4 BHK,Society1,3488,3,2,133.45
Plot Area,Ready To Move,T. Nagar,3 BHK,Society5,1828,1,2,113.92
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society2,2570,3,2,86.03
Carpet Area,Under Construction,Velachery,5 BHK,Society2,3601,3,3,186.63
Built-up Area,Under Construction,Adyar,2 BHK,Society1,1589,3,2,83.33
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society4,2176,2,1,141.44
Plot Area,Ready To Move,Medavakkam,3 BHK,Society5,2736,4,0,124.86
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society4,3457,1,0,138.22
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society5,2601,5,0,116.38
Carpet Area,Under Construction,Anna Nagar,2 BHK,Society2,1393,3,2,69.59
Plot Area,Under Construction,Sholinganallur,2 BHK,Society1,2266,2,3,140.51
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society3,988,2,0,40.91
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society3,1977,2,1,65.04
Built-up Area,Under Construction,Velachery,1 BHK,Society1,852,2,0,22.22
Plot Area,Under Construction,Kodambakkam,1 BHK,Society3,1138,2,0,58.49
Carpet Area,Ready To Move,Tambaram,3 BHK,Society4,2942,4,0,101.35
Plot Area,Under Construction,Sholinganallur,5 BHK,Society2,2765,2,0,116.21
Built-up Area,Under Construction,T. Nagar,1 BHK,Society2,836,1,2,43.55
Built-up Area,Under Construction,Medavakkam,3 BHK,Society2,3375,3,2,202.1
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society2,1880,4,0,64.52
Built-up Area,Under Construction,Velachery,2 BHK,Society3,2235,3,3,128.88
Plot Area,Under Construction,Thiruvanmiyur,1 BHK,Society2,632,2,1,21.6
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society4,3964,4,2,183.9
Plot Area,Under Construction,Adyar,4 BHK,Society3,2337,1,0,150.41
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society5,3101,4,3,206.68
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society3,770,1,1,27.64
Carpet Area,Under Construction,Medavakkam,4 BHK,Society5,3814,2,2,245.87
Plot Area,Ready To Move,Tambaram,4 BHK,Society5,3400,5,0,195.35
Plot Area,Under Construction,Velachery,2 BHK,Society5,1556,1,2,54.51
Carpet Area,Ready To Move,Adyar,1 BHK,Society1,761,1,0,46.35
Built-up Area,Under Construction,Anna Nagar,1 BHK,Society1,549,2,1,28.0
Built-up Area,Under Construction,T. Nagar,2 BHK,Society2,1809,3,1,67.86
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society5,2011,2,0,119.43
Carpet Area,Under Construction,T. Nagar,2 BHK,Society3,2325,2,0,147.67
Built-up Area,Under Construction,T. Nagar,2 BHK,Society2,1003,3,1,69.43
Carpet Area,Ready To Move,Adyar,5 BHK,Society1,2594,3,3,87.9
Built-up Area,Under Construction,Thiruvanmiyur,4 BHK,Society2,3853,2,0,254.67
Built-up Area,Under Construction,Velachery,3 BHK,Society4,3564,1,3,117.53
Built-up Area,Under Construction,T. Nagar,3 BHK,Society2,1977,4,1,50.38
Plot Area,Under Construction,Tambaram,4 BHK,Society1,3794,2,0,227.37
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society1,2961,1,2,144.14
Plot Area,Under Construction,Medavakkam,4 BHK,Society3,4174,5,3,121.58
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society4,3731,3,0,115.46
Plot Area,Under Construction,T. Nagar,5 BHK,Society4,2908,5,0,200.04
Plot Area,Under Construction,Anna Nagar,5 BHK,Society5,2975,1,1,169.81
Built-up Area,Ready To Move,Velachery,3 BHK,Society3,1912,2,0,120.94
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society5,986,2,2,52.53
Carpet Area,Under Construction,Velachery,1 BHK,Society4,516,2,1,21.25
Carpet Area,Under Construction,Kodambakkam,5 BHK,Society1,4512,1,2,286.36
Carpet Area,Ready To Move,Nungambakkam,5 BHK,Society4,2810,3,3,189.64
